onset	duration	nwb_table	target_duration_for_nose_in_center	violation_time_out	reward_volume_ul	nose_in_center	catch_percentage	punish_sound_enabled	cumulative_reward_volume_ul	is_catch	is_warm_up	trials_in_stage	changed	block_type	auto_change_catch_probability	previous_was_violation	time_increment_for_reward_delay	time_increment_for_nose_in_center	reward_delay	target_reward_delay	training_stage	num_trials_in_adaptation_blocks	num_trials_in_mixed_blocks	is_rewarded	is_violation	is_opt_out	wait_time	wait_time_unthresholded	wait_time_threshold	wait_for_center_poke	z_scored_wait_for_center_poke	rewarded_port	inter_trial_interval	state_type
2505175.3753	46.87069999985397	trials	1.0	2.0	10.0	1.1425	0.15	True	0.0	False	False	5028.0	False	Mixed	True	False	0.002	0.0	2.0837	1.5	9.0													
2505175.3753	46.87069999985397	processed_trials			10.0	1.1425				False				Mixed					2.0837		9.0	40.0	40.0	False	True	False			24.554372273282663			Left	44.8026	
2505175.3753	44.802600000053644	states																																"       state_name
id               
3   wait_for_poke"
2505220.1779	0.06809999980032444	states																																"        state_name
id                
1   nose_in_center"
2505220.246	2.0	states																																"          state_name
id                  
2   punish_violation"
2505222.2682	10.522499999962747	trials	1.0	2.0	10.0	0.847743335106613	0.15	True	0.0	False	False	5030.0	False	Mixed	True	True	0.002	0.0	3.6579787856591164	1.5	9.0													
2505222.2682	10.522499999962747	processed_trials			10.0	0.847743335106613				False				Mixed					3.6579787856591164		9.0	40.0	40.0	False	True	False			24.554372273282663	8.5082	-0.11866217781952418	Left	8.5082	
2505222.2682	8.508200000040233	states																																"       state_name
id               
3   wait_for_poke"
2505230.7764	0.014299999922513962	states																																"        state_name
id                
1   nose_in_center"
2505230.7907	2.0	states																																"          state_name
id                  
2   punish_violation"
2505232.8136	15.930900000035763	trials	1.0	2.0	10.0	1.1838432625188695	0.15	True	0.0	False	False	5031.0	False	Mixed	True	True	0.002	0.0	3.715137327174026	1.5	9.0													
2505232.8136	15.930900000035763	processed_trials			10.0	1.1838432625188695				False				Mixed					3.715137327174026		9.0	40.0	40.0	False	True	False			24.554372273282663	12.8732	-0.07545830124286476	Right	12.8732	
2505232.8136	12.87319999979809	states																																"       state_name
id               
3   wait_for_poke"
2505245.6868	1.0577000002376735	states																																"        state_name
id                
1   nose_in_center"
2505246.7445	2.0	states																																"          state_name
id                  
2   punish_violation"
2505248.7677	3.3120999997481704	trials	1.0	2.0	10.0	0.9358493899369984	0.15	True	0.0	False	False	5032.0	False	Mixed	True	True	0.002	0.0	0.4591847625414144	1.5	9.0													
2505248.7677	3.3120999997481704	processed_trials			10.0	0.9358493899369984				False				Mixed					0.4591847625414144		9.0	40.0	40.0	True	False	False	0.45920000000000005	0.45920000000000005	24.554372273282663	1.3585	-0.18942844502688772	Left	1.3585	
2505248.7677	1.358500000089407	states																																"       state_name
id               
3   wait_for_poke"
2505250.1262000003	0.9358000000938773	states																																"        state_name
id                
1   nose_in_center"
2505251.0620000004	0.001999999862164259	states																																"   state_name
id           
5      go_cue"
2505251.0640000002	0.45919999992474914	states																																"            state_name
id                    
6   wait_for_side_poke"
2505251.5232	0.39550000010058284	states																																"         state_name
id                 
4   announce_reward"
2505251.9187000003	0.1609999998472631	states																																"   state_name
id           
8      reward"
2505252.0797	0.0001000002957880497	states																																"    state_name
id            
7   stop_sound"
2505252.1222	8.535699999891222	trials	1.0	2.0	5.0	0.834799630155434	0.15	True	10.0	False	False	5033.0	False	Mixed	True	False	0.002	0.0	4.097099298769242	1.5	9.0													
2505252.1222	8.535699999891222	processed_trials			5.0	0.834799630155434				False				Mixed					4.097099298769242		9.0	40.0	40.0	True	False	False	4.0971	4.0971	24.554372273282663	2.9658	-0.17351971860726234	Left	0.5067000000000004	
2505252.1222	2.9657999998889863	states																																"       state_name
id               
3   wait_for_poke"
2505255.088	0.8348000003024936	states																																"        state_name
id                
1   nose_in_center"
2505255.9228000003	0.001999999862164259	states																																"   state_name
id           
5      go_cue"
2505255.9248	4.097099999897182	states																																"            state_name
id                    
6   wait_for_side_poke"
2505260.0219	0.5435999999754131	states																																"         state_name
id                 
4   announce_reward"
2505260.5655	0.09230000013485551	states																																"   state_name
id           
8      reward"
2505260.6578	9.999983012676239e-05	states																																"    state_name
id            
7   stop_sound"
2505260.6898	4.9229000001214445	trials	1.0	2.0	80.0	0.9060523301344886	0.15	True	15.0	False	False	5034.0	False	Mixed	True	False	0.002	0.0	0.7882048182092396	1.5	9.0													
2505260.6898	4.9229000001214445	processed_trials			80.0	0.9060523301344886				False				Mixed					0.7882048182092396		9.0	40.0	40.0	False	True	False			24.554372273282663	2.7788000000000004	-0.17537060633231052	Right	0.5992000000000006	
