onset	duration	nwb_table	target_duration_for_nose_in_center	violation_time_out	reward_volume_ul	nose_in_center	catch_percentage	punish_sound_enabled	cumulative_reward_volume_ul	is_catch	is_warm_up	trials_in_stage	changed	block_type	auto_change_catch_probability	previous_was_violation	time_increment_for_reward_delay	time_increment_for_nose_in_center	reward_delay	target_reward_delay	training_stage	num_trials_in_adaptation_blocks	num_trials_in_mixed_blocks	is_rewarded	is_violation	is_opt_out	wait_time	wait_time_unthresholded	wait_time_threshold	wait_for_center_poke	z_scored_wait_for_center_poke	rewarded_port	inter_trial_interval	state_type
1226671.0056	56.84829999995418	trials	1.0	2.0	40.0	1.0839	0.35	True	0.0	True	False	7691.0	False	Mixed	True	False	0.025	0.0	100.0	1.5	9.0													
1226671.0056	56.84829999995418	processed_trials			40.0	1.0839				True				Mixed					100.0		9.0	40.0	40.0	False	True	False			16.328661017111735			Left	53.988	
1226671.0056	53.98799999989569	states																																"       state_name
id               
3   wait_for_poke"
1226724.9936	0.8603000000584871	states																																"        state_name
id                
1   nose_in_center"
1226725.8539	2.0	states																																"          state_name
id                  
2   punish_violation"
1226727.8742	4.645200000144541	trials	1.0	2.0	40.0	1.1547667805616588	0.35	True	0.0	False	False	7693.0	False	Mixed	True	True	0.025	0.0	2.486799497072589	1.5	9.0													
1226727.8742	4.645200000144541	processed_trials			40.0	1.1547667805616588				False				Mixed					2.486799497072589		9.0	40.0	40.0	True	False	False	2.4868	2.4868	16.328661017111735	0.352	-0.30875602206065006	Left	0.352	
1226727.8742	0.3519999999552965	states																																"       state_name
id               
3   wait_for_poke"
1226728.2262	1.1548000001348555	states																																"        state_name
id                
1   nose_in_center"
1226729.381	0.001999999862164259	states																																"   state_name
id           
5      go_cue"
1226729.383	2.4868000000715256	states																																"            state_name
id                    
6   wait_for_side_poke"
1226731.8698	0.06150000006891787	states																																"         state_name
id                 
4   announce_reward"
1226731.9313	0.5880999998189509	states																																"   state_name
id           
7      reward"
1226732.54	8.803599999984726	trials	1.0	2.0	10.0	0.9562078733114467	0.35	True	40.0	False	False	7694.0	False	Mixed	True	False	0.025	0.0	1.8737108538223737	1.5	9.0													
1226732.54	8.803599999984726	processed_trials			10.0	0.9562078733114467				False				Mixed					1.8737108538223737		9.0	40.0	40.0	False	True	False			16.328661017111735	5.9767	0.0018039979735905598	Left	1.032	
1226732.54	5.976699999999255	states																																"       state_name
id               
3   wait_for_poke"
1226738.5167	0.8268999999854714	states																																"        state_name
id                
1   nose_in_center"
1226739.3436	2.0	states																																"          state_name
id                  
2   punish_violation"
1226741.3634	6.708199999993667	trials	1.0	2.0	10.0	0.9523208893048861	0.35	True	40.0	False	False	7695.0	False	Mixed	True	True	0.025	0.0	3.457585892651677	1.5	9.0													
1226741.3634	6.708199999993667	processed_trials			10.0	0.9523208893048861				False				Mixed					3.457585892651677		9.0	40.0	40.0	False	True	False			16.328661017111735	4.1988	-0.09636028805390892	Left	4.1988	
1226741.3634	4.198799999896437	states																																"       state_name
id               
3   wait_for_poke"
1226745.5621999998	0.5094000000972301	states																																"        state_name
id                
1   nose_in_center"
1226746.0716	2.0	states																																"          state_name
id                  
2   punish_violation"
1226748.0928	5.031399999978021	trials	1.0	2.0	10.0	0.8662899062699627	0.35	True	40.0	False	False	7696.0	False	Mixed	True	True	0.025	0.0	0.12417823972073547	1.5	9.0													
1226748.0928	5.031399999978021	processed_trials			10.0	0.8662899062699627				False				Mixed					0.12417823972073547		9.0	40.0	40.0	True	False	False	0.12420000000000009	0.12420000000000009	16.328661017111735	3.4717	-0.13650610748728254	Left	3.4717	
1226748.0928	3.4717000001110137	states																																"       state_name
id               
3   wait_for_poke"
1226751.5645	0.8662999998778105	states																																"        state_name
id                
1   nose_in_center"
1226752.4308	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
1226752.4328	0.12419999996200204	states																																"            state_name
id                    
6   wait_for_side_poke"
1226752.557	0.406199999852106	states																																"         state_name
id                 
4   announce_reward"
1226752.9631999999	0.16100000008009374	states																																"   state_name
id           
7      reward"
1226753.1455	7.055799999972805	trials	1.0	2.0	80.0	1.1316856261818313	0.35	True	50.0	False	False	7697.0	False	Mixed	True	False	0.025	0.0	0.26401399896508976	1.5	9.0													
1226753.1455	7.055799999972805	processed_trials			80.0	1.1316856261818313				False				Mixed					0.26401399896508976		9.0	40.0	40.0	True	False	False	0.26400000000000023	0.26400000000000023	16.328661017111735	4.0709	-0.10342210940658186	Right	0.28469999999999995	
1226753.1455	4.070899999933317	states																																"       state_name
id               
3   wait_for_poke"
1226757.2164	1.1317000000271946	states																																"        state_name
id                
1   nose_in_center"
1226758.3481	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
1226758.3501000002	0.2639999999664724	states																																"            state_name
id                    
6   wait_for_side_poke"
1226758.6141000001	0.8416999999899417	states																																"         state_name
id                 
4   announce_reward"
1226759.4558	0.7454999999608845	states																																"   state_name
id           
7      reward"
1226760.2242	7.672599999932572	trials	1.0	2.0	20.0	1.0965341413025715	0.35	True	130.0	False	False	7698.0	False	Mixed	True	False	0.025	0.0	2.6875045357806036	1.5	9.0													
1226760.2242	7.672599999932572	processed_trials			20.0	1.0965341413025715				False				Mixed					2.6875045357806036		9.0	40.0	40.0	False	True	False			16.328661017111735	5.3551	-0.03251678508208956	Left	0.46470000000000056	
1226760.2242	5.355100000044331	states																																"       state_name
id               
3   wait_for_poke"
1226765.5793	0.3174999998882413	states																																"        state_name
id                
1   nose_in_center"
1226765.8968	2.0	states																																"          state_name
id                  
2   punish_violation"
1226767.9197	6.897300000069663	trials	1.0	2.0	20.0	0.9158714655677632	0.35	True	130.0	False	False	7699.0	False	Mixed	True	True	0.025	0.0	4.846879743659781	1.5	9.0													
1226767.9197	6.897300000069663	processed_trials			20.0	0.9158714655677632				False				Mixed					4.846879743659781		9.0	40.0	40.0	True	False	False	4.8469	4.8469	16.328661017111735	0.4787	-0.30176045704592247	Left	0.4787	
1226767.9197	0.47870000009424984	states																																"       state_name
id               
3   wait_for_poke"
1226768.3984	0.9158999999053776	states																																"        state_name
id                
1   nose_in_center"
1226769.3143	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
1226769.3163	4.846900000004098	states																																"            state_name
id                    
6   wait_for_side_poke"
1226774.1632	0.3533999999053776	states																																"         state_name
id                 
4   announce_reward"
1226774.5166	0.3004000000655651	states																																"   state_name
id           
7      reward"
1226774.8418	10.658000000054017	trials	1.0	2.0	20.0	0.8791036526954774	0.35	True	150.0	False	False	7700.0	False	Mixed	True	False	0.025	0.0	4.8468797	1.5	9.0													
1226774.8418	10.658000000054017	processed_trials			20.0	0.8791036526954774				False				Mixed					4.8468797		9.0	40.0	40.0	True	False	False	4.8469	4.8469	16.328661017111735	4.458699999999999	-0.08201026952724992	Right	0.4018999999999995	
1226774.8418	4.458700000075623	states																																"       state_name
id               
3   wait_for_poke"
1226779.3005000001	0.8791000000201166	states																																"        state_name
id                
1   nose_in_center"
1226780.1796000001	0.001999999862164259	states																																"   state_name
id           
5      go_cue"
1226780.1816	4.846900000004098	states																																"            state_name
id                    
6   wait_for_side_poke"
1226785.0285	0.2750000001396984	states																																"         state_name
id                 
4   announce_reward"
1226785.3035000002	0.19629999995231628	states																																"   state_name
id           
7      reward"
1226785.5248	12.503700000001118	trials	1.0	2.0	40.0	1.1205858050634174	0.35	True	170.0	True	False	7701.0	False	Mixed	True	False	0.025	0.0	100.0	1.5	9.0													
1226785.5248	12.503700000001118	processed_trials			40.0	1.1205858050634174				True				Mixed					100.0		9.0	40.0	40.0	False	False	True	7.5981000000000005	7.5981000000000005	16.328661017111735	3.583	-0.1303608321428533	Right	0.5895999999999999	
1226785.5248	3.583000000100583	states																																"       state_name
id               
3   wait_for_poke"
1226789.1078	1.1205999997910112	states																																"        state_name
id                
1   nose_in_center"
1226790.2284	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
1226790.2304	7.598100000061095	states																																"            state_name
id                    
6   wait_for_side_poke"
1226797.8285	0.19999999995343387	states																																"   state_name
id           
0     opt_out"
1226798.056	2.705599999986589	trials	1.0	2.0	5.0	1.0613774498110649	0.35	True	170.0	False	False	7702.0	False	Mixed	True	False	0.025	0.0	1.3880038644570685	1.5	9.0													
1226798.056	2.705599999986589	processed_trials			5.0	1.0613774498110649				False				Mixed					1.3880038644570685		9.0	40.0	40.0	False	True	False			16.328661017111735	0.5202	-0.2994690920253132	Right	0.5202	
1226798.056	0.5201999999117106	states																																"       state_name
id               
3   wait_for_poke"
1226798.5762	0.18540000007487833	states																																"        state_name
id                
1   nose_in_center"
1226798.7616	2.0	states																																"          state_name
id                  
2   punish_violation"
1226800.7894	3.0893000001087785	trials	1.0	2.0	5.0	0.8302624137921352	0.35	True	170.0	True	False	7703.0	False	Mixed	True	True	0.025	0.0	1.3880039	1.5	9.0													
1226800.7894	3.0893000001087785	processed_trials			5.0	0.8302624137921352				False				Mixed					1.3880039		9.0	40.0	40.0	False	False	False	1.3880000000000001	1.3880000000000001	16.328661017111735	0.869	-0.28021058312920444	Left	0.869	
1226800.7894	0.8689999999478459	states																																"       state_name
id               
3   wait_for_poke"
1226801.6583999998	0.8303000000305474	states																																"        state_name
id                
1   nose_in_center"
1226802.4886999999	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
1226802.4907	1.3880000000353903	states																																"            state_name
id                    
6   wait_for_side_poke"
1226803.906	9.467399999964982	trials	1.0	2.0	80.0	0.8462972725363456	0.35	True	170.0	False	False	7704.0	False	Mixed	True	False	0.025	0.0	3.8143081245448833	1.5	9.0													
1226803.906	9.467399999964982	processed_trials			80.0	0.8462972725363456				False				Mixed					3.8143081245448833		9.0	40.0	40.0	True	False	False	3.8142999999999994	3.8142999999999994	16.328661017111735	3.9452	-0.11036246080635502	Right	3.9452	
1226803.906	3.9451999999582767	states																																"       state_name
id               
3   wait_for_poke"
1226807.8512	0.8463000000920147	states																																"        state_name
id                
1   nose_in_center"
1226808.6975	0.001999999862164259	states																																"   state_name
id           
5      go_cue"
1226808.6994999999	3.8143000002019107	states																																"            state_name
id                    
6   wait_for_side_poke"
1226812.5138	0.11409999988973141	states																																"         state_name
id                 
4   announce_reward"
1226812.6279	0.7454999999608845	states																																"   state_name
id           
7      reward"
1226813.4025	7.914399999892339	trials	1.0	2.0	40.0	0.8128267994904635	0.35	True	250.0	False	False	7705.0	False	Mixed	True	False	0.025	0.0	0.6140528516432924	1.5	9.0													
1226813.4025	7.914399999892339	processed_trials			40.0	0.8128267994904635				False				Mixed					0.6140528516432924		9.0	40.0	40.0	True	False	False	0.6140999999999996	0.6140999999999996	16.328661017111735	5.796399999999999	-0.00815101680269508	Left	0.3692999999999991	
1226813.4025	5.796400000108406	states																																"       state_name
id               
3   wait_for_poke"
1226819.1989000002	0.8127999999560416	states																																"        state_name
id                
1   nose_in_center"
1226820.0117000001	0.001999999862164259	states																																"   state_name
id           
5      go_cue"
1226820.0137	0.614100000122562	states																																"            state_name
id                    
6   wait_for_side_poke"
1226820.6278000001	0.10100000002421439	states																																"         state_name
id                 
4   announce_reward"
1226820.7288000002	0.5880999998189509	states																																"   state_name
id           
7      reward"
1226821.3468	7.760800000047311	trials	1.0	2.0	10.0	0.9114699297876981	0.35	True	290.0	True	False	7706.0	False	Mixed	True	False	0.025	0.0	100.0	1.5	9.0													
1226821.3468	7.760800000047311	processed_trials			10.0	0.9114699297876981				True				Mixed					100.0		9.0	40.0	40.0	False	True	False			16.328661017111735	5.0525	-0.049224424967303206	Right	0.26869999999999994	
1226821.3468	5.052499999990687	states																																"       state_name
id               
3   wait_for_poke"
1226826.3993	0.7083000000566244	states																																"        state_name
id                
1   nose_in_center"
1226827.1076	2.0	states																																"          state_name
id                  
2   punish_violation"
1226829.1364	9.067700000014156	trials	1.0	2.0	10.0	0.9927450894202627	0.35	True	290.0	True	False	7707.0	False	Mixed	True	True	0.025	0.0	100.0	1.5	9.0													
1226829.1364	9.067700000014156	processed_trials			10.0	0.9927450894202627				True				Mixed					100.0		9.0	40.0	40.0	False	False	True	3.860900000000001	3.860900000000001	16.328661017111735	4.0121	-0.10666866996590295	Right	4.0121	
